name,screen_name,followers_count
Huey Stochastics,HueristicalStoc,1808
3901🍌4746🐱,real3901,1653
jeffnicholas.eth 🙏🏼✨,_jeffnicholas_,5604
PlungeFather.eth🪠,PlungeFather,14312
ChungusPrime_NFTCollector,shot_collector,3398
Roman,RomanTirone,3659
SmellSweet.eth 🍌,smellsweeeeet,1272
Boomer,MikeBoomhour,1459
rich,NoKapRich,5571
LuckyManeki,LuckyManekiNFT,8550
Nametag,nametagtweets,7511
ChamomileNFTea,NfChamomile,1633
CryptoPunks Bot,cryptopunksbot,40795
⚡️Artist•NFTs ⚡️,sickpencil,4707
Lord Truffington,LTruffington,2935
Lab Max 🍌,LabMax,1349
ixzo#7993,ixzooo,1794
SilvaNZ.eth,ASilvaNZ1,1640
NFTBoxes.io,nftboxes,18834
ADADHESRAD 🍌,adadhesradtops1,1730
SimplΞ NFT,SimplyNFTs,1731
cedssim.eth,CedsSim,1532
GL1TCH🍥,GL1TCHYGL1TCH,2874
BASSJACKERS,Bassjackers,346550
Fox/Slightly🍌,foxslightly,1558
Steve,day25,8771
FFVV1211🍌,FFVV1211,3522
JUSTIN,justintrimble,38183
Ape 2849 🍌,ape2849,1257
jeffalomaniac.eth,jeffalomaniac,4660
Evaluate.Market,EvaluateMarket,25748
ApeofPoland,ApeofPoland,2033
Kylo.eth / APE DAO,Kyloren_NFT,11273
Sillytuna 💯,sillytuna,15176
erock.eth 🪨,leafericsun,1745
BYOPills 💊,BYOPills,7578
Irina Liakh ✍️🆕🎼,IrinaLiakh,6869
heyyovico.eth,heyyovico,2923
moondog.eth,MoondogIRL,3943
Scalynelson,punk3178,6946
sartoshi,sartoshi_nft,9264
squirtle.eth,squirtleth,15809
BlackKettle.Eth,B1ackKett1e,1704
Keyboard Monkey,KeyboardMonkey3,60182
myrugema.eth,MyRugema,3597
TheFirstMint,TheFirstMint,55308
NFTDarling,NFTDarling,1700
KΞvin R◎se,kevinrose,1570218
Adam Falah 🍌,adamfalah19,1426
𝕬𝖓𝖉𝖗𝖊𝖜 𝕸𝖊𝖉𝖆𝖑 🍌,AndrewMedal,13756
Ape6068.eth,ape6068,1370
Black Flag 🏴‍☠️🐎,blackflagdomain,1659
VOID - The Visitors of Imma Degen,ImmaDegen,8647
0xBoredApe |🍌🦧🔥,0xBoredApe,1435
DRINK WATER,HYDRATEDKIDDO,1177
0xSimon 🍌,0xS1MN,1111
rhymeten,rhymeten,1891
NFTNick.eth,allnick,17639
WEEZY,twallace1010,1403
doost.eth 🍌,GuiltyPressures,1378
mikethree.eth 😂,mikethreezy,7330
Fractional,fractional_art,17200
Hackatao,Hackatao,29729
SkyJack,SkyJack80345612,2425
kraytrain.eth,KrayTrain,1784
Pokey,PokeyNFT,1743
Cheetah Baby,TodorokiNFT,1633
Hirshy,boredHirshy,1460
dropacid.eth | BAYC #1727,dropacid8,1818
5592,4two25,1304
Ape Ventura - NFT Detective,NFTonebone,1332
The Dons 🎩,NFTCryptoShark,11589
NFT Wear,NFTWear1,1455
Chris,unitedforlife86,1420
Jepbar.eth 🍌,jepbar,1349
mistcop.eth,mistcop,59961
Gabe Weis,GabrielJWeis,8210
rarity.tools,raritytools,12191
XBOT (Hiren Patel) 🍌 🦍 👽🐱,QualityNames_,3692
⟠⟠⟠ tommyk.eth ⟠⟠⟠,tommyk_eth,11918
Boeboebs 🏴‍☠️,boudinodejong,2977
Jennifer,jennifer_sutto,10711
Foundation 🌐,withFND,131754
Dapper Labs,dapperlabs,76782
paradiseloren,paradise_loren,2061
KRHFT Trading Co,KRHFT,4338
1stmint,1stmintnfts,1807
GxngYxng | NFT Artist,GxngYxngNFT,6087
VickijEth🇬🇧 🍌,VickijEth,3327
zero_edge.eth,zero_edge_eth,2012
Bored D. Ape,hex2tr3_,1855
Dylan Mayoral,DylanMayoralNFT,3990
Greg Murray,_GregMurray,14114
Bored Ape Pixel Club,BoredApePixelCl,3786
2legit2quit.eth,2l3gi72qui7,1826
Leo,Crypto_Ape_Leo,1243
kibaa.eth,kibaa_hok,5027
Moon Zaddy,ApeZaddy,1167
artguy.eth 🍌,cyrptonaut,1290
BossLogic,Bosslogic,457379
Javier Lovato 🍌,JavierLovato127,1431
